,compound,neg,neu,pos,text,date,User,tweets ago
13,0.0,0.0,1.0,0.0,The Gaia satellite gave us a new star map that is out of this world https://t.co/AF3vhrj9jy (via @CNNOpinion) https://t.co/7t7pSfFiFe,Sat Apr 28 17:30:13 +0000 2018,@CNN,14
14,0.5106,0.0,0.784,0.216,Liberian ex-President Ellen Johnson Sirleaf dedicates $5M prize to women's empowerment https://t.co/Z1FxeTtMCz https://t.co/C7PSeLQaXL,Sat Apr 28 17:15:06 +0000 2018,@CNN,15
15,-0.6369,0.292,0.593,0.114,"Judge in case Jeff Sessions picked for immigrant domestic violence asylum review issued ""clearly erroneous"" decisio… https://t.co/iCPBhArGFZ",Sat Apr 28 17:00:07 +0000 2018,@CNN,16
16,0.4019,0.0,0.803,0.197,British toddler Alfie Evans dies after life support is withdrawn https://t.co/kWyjArvwSW https://t.co/aivTfu5iCV,Sat Apr 28 16:45:02 +0000 2018,@CNN,17
17,-0.6705,0.36,0.64,0.0,Military officials killed in Somalia restaurant blast https://t.co/eX3me7Hdx4 https://t.co/R8s04UZkvK,Sat Apr 28 16:30:09 +0000 2018,@CNN,18
18,-0.296,0.196,0.804,0.0,Here's what you missed during a busy news week https://t.co/rsVrBe1WFd https://t.co/AaO16FxKqY,Sat Apr 28 16:15:06 +0000 2018,@CNN,19
19,0.4404,0.0,0.769,0.231,Defense Secretary James Mattis woos National Security Advisor John Bolton with breakfast club invite… https://t.co/1LDQiN4soe,Sat Apr 28 16:00:11 +0000 2018,@CNN,20
20,-0.8957,0.607,0.393,0.0,Soldiers among 6 killed in Afghanistan car bomb attack https://t.co/GMsLhU1UE9 https://t.co/tEGfMBMEvl,Sat Apr 28 15:45:11 +0000 2018,@CNN,21
21,0.0,0.0,1.0,0.0,President Trump and South Korean President Moon talk ahead of North Korea meeting https://t.co/t6LGP10E07 https://t.co/HjO4dSX67p,Sat Apr 28 15:34:24 +0000 2018,@CNN,22
22,0.5574,0.0,0.841,0.159,"Kanye West just released a new song defending his praise for Trump. The track features West debating with Tip ""T.I.… https://t.co/asge9HLqNw",Sat Apr 28 15:00:06 +0000 2018,@CNN,23
23,0.0,0.0,1.0,0.0,3000 miles. Sickness. Trains of trash. A 27-year-old pregnant mother of two recounts fleeing from Honduras alongsid… https://t.co/wzULYjTADs,Sat Apr 28 14:31:01 +0000 2018,@CNN,24
24,-0.6249,0.255,0.745,0.0,These kids were being bullied. Then a photographer transformed them into Avengers superheroes… https://t.co/oRtaz9zecY,Sat Apr 28 14:01:08 +0000 2018,@CNN,25
25,-0.3612,0.217,0.783,0.0,Here's how far teacher salaries have fallen behind https://t.co/6XtGE8D2nK https://t.co/hcdGo2sAPZ,Sat Apr 28 13:31:07 +0000 2018,@CNN,26
26,0.34,0.0,0.805,0.195,Amazon is raising the price of Amazon Prime from $99 to $119 per year https://t.co/N0DpVCku8I https://t.co/84REwojwf9,Sat Apr 28 13:01:07 +0000 2018,@CNN,27
27,0.0,0.0,1.0,0.0,Sweden has opened the world's first public road that allows electric cars to recharge while driving… https://t.co/Rfw1DgEHKD,Sat Apr 28 12:31:03 +0000 2018,@CNN,28
28,0.7717,0.0,0.642,0.358,"The super groovy talent behind ""Schoolhouse Rock"" | By Gene Seymour via @CNNOpinion https://t.co/8P3O7IDmnH https://t.co/rTKmd9z58Q",Sat Apr 28 12:01:02 +0000 2018,@CNN,29
29,0.0,0.0,1.0,0.0,"As the world's most populous nation, with the second-biggest economy, China is finding new and increasingly nerve-r… https://t.co/lfY9olJ3FX",Sat Apr 28 11:31:05 +0000 2018,@CNN,30
30,0.3612,0.0,0.828,0.172,Get ready for the world's longest nonstop flight: Almost 20 hours https://t.co/ILyfh70lqm https://t.co/e8HtT9SZXf,Sat Apr 28 11:01:02 +0000 2018,@CNN,31
31,0.7501,0.0,0.767,0.233,"""Hannity is a very wealthy man. So is Donald Trump. It appears that part of the way they became rich was by decryin… https://t.co/tZ5M9pVhL9",Sat Apr 28 10:46:04 +0000 2018,@CNN,32
32,-0.1779,0.145,0.855,0.0,These mysterious Arctic ice holes have NASA scientists puzzled https://t.co/EX5e9ACPux https://t.co/93xOfQRUqP,Sat Apr 28 10:31:05 +0000 2018,@CNN,33
